16,8918776,912290,1144924
32,748648,662551,1576552
64,4913823,562199,948782
128,3487800,1834843,1296022
256,13927820,3051611,3167357
512,81838698,5136193,5717778
1024,711333723,11547313,16832894
2048,5851378812,40341471,39055141
4096,52914838285,157167065,163051337
